Index,Amount,Part number,Manufacturer part number,Description,Customer reference,Available,Post order,Unit price,Extended price EUR
1,4,399-3678-1-ND,T491A105K016AT,CAP TANT 1UF 10% 16V 1206,,4,0,0.44,1.76
2,10,399-3676-1-ND,T491A104K035AT,CAP TANT 0.1UF 10% 35V 1206,,10,0,0.35,3.5
3,10,478-1114-1-ND,0402YC103KAT2A,CAP CER 10000PF 16V X7R 0402,,10,0,0.012,0.12
4,2,565-5039-ND,EKXL401ELL470MJ40S,CAP ALUM 47UF 20% 400V RADIAL TH,,2,0,1.67,3.34
5,1,1189-1307-ND,35ZLJ680M10X25,CAP ALUM 680UF 20% 35V RADIAL,,1,0,0.9,0.9
6,1,399-10429-1-ND,T491D227K016AT,CAP TANT 220UF 10% 16V 2917,,1,0,1.81,1.81
7,2,1727-2280-1-ND,PMEG045V050EPDZ,DIODE SCHOTTKY 45V 5A CFP15,,2,0,0.57,1.14
8,1,507-1948-1-ND,0685T5000-01,FUSE BOARD MNT 5A 63VAC/VDC 1206,,1,0,0.29,0.29
9,2,507-1773-1-ND,0ZCG0150BF2C,PTC RESET FUSE 24V 1.5A 1812,,2,0,0.22,0.44
10,1,2073-DCJ200-10-A-K1-K-ND,DCJ200-10-A-K1-K,"DC POWER JACK, THRU HOLE, HORIZO",,1,0,0.69,0.69
11,1,S7040-ND,PPPC071LFBN-RC,CONN HDR 7POS 0.1 GOLD PCB,,1,0,0.56,0.56
12,1,WM18922-ND,353620450,CONN HEADER VERT 4POS 2MM,,1,0,0.39,0.39
13,2,732-10955-ND,6.91138E+11,TERM BLK 2POS SIDE ENTRY 5MM PCB,,2,0,0.38,0.76
14,2,S7002-ND,PPTC041LFBN-RC,CONN HDR 4POS 0.1 TIN PCB,,2,0,0.41,0.82
15,1,S7107-ND,PPPC042LFBN-RC,CONN HDR 8POS 0.1 GOLD PCB,,1,0,0.63,0.63
16,2,S7000-ND,PPTC021LFBN-RC,CONN HDR 2POS 0.1 TIN PCB,,2,0,0.29,0.58
17,1,1568-1816-ND,PRT-10474,XT60 CONNECTORS MALE/FEMALE PAIR,,1,0,1.47,1.47
18,2,S7122-ND,PPPC192LFBN-RC,CONN HDR 38POS 0.1 GOLD PCB,,2,0,2.08,4.16
19,1,SRR1260A-330MCT-ND,SRR1260A-330M,FIXED IND 33UH 3A 60 MOHM SMD,,1,0,1.29,1.29
20,2,IRLB8721PBF-ND,IRLB8721PBF,MOSFET N-CH 30V 62A TO220AB,,2,0,1,2
21,2,311-2.0KERCT-ND,RC1206JR-072KL,RES 2K OHM 5% 1/4W 1206,,2,0,0.09,0.18
22,10,311-100ERCT-ND,RC1206JR-07100RL,RES 100 OHM 5% 1/4W 1206,,10,0,0.031,0.31
23,10,311-1.00KFRCT-ND,RC1206FR-071KL,RES 1K OHM 1% 1/4W 1206,,10,0,0.035,0.35
24,10,311-3.3KERCT-ND,RC1206JR-073K3L,RES 3.3K OHM 5% 1/4W 1206,,10,0,0.032,0.32
25,1,311-6.2KERCT-ND,RC1206JR-076K2L,RES 6.2K OHM 5% 1/4W 1206,,1,0,0.09,0.09
26,2,311-39KERCT-ND,RC1206JR-0739KL,RES 39K OHM 5% 1/4W 1206,,2,0,0.09,0.18
27,1,311-453KFRCT-ND,RC1206FR-07453KL,RES 453K OHM 1% 1/4W 1206,,1,0,0.09,0.09
28,1,311-1.0MERCT-ND,RC1206JR-071ML,RES 1M OHM 5% 1/4W 1206,,1,0,0.09,0.09
29,1,311-100KERCT-ND,RC1206JR-07100KL,RES 100K OHM 5% 1/4W 1206,,1,0,0.09,0.09
30,1,311-3.30MFRCT-ND,RC1206FR-073M3L,RES 3.3M OHM 1% 1/4W 1206,,1,0,0.09,0.09
31,1,311-4.53KFRCT-ND,RC1206FR-074K53L,RES 4.53K OHM 1% 1/4W 1206,,1,0,0.09,0.09
32,1,13-PA1206FRE070R01ZCT-ND,PA1206FRE070R01Z,RES 0.01 OHM 1% 1/4W 1206,,1,0,0.34,0.34
33,2,3147-B1591NG--20C000922U1930CT-ND,B1591NG--20C000922U1930,3.2(L)X1.6(W)X1.85(H) MM REVERSE,,2,0,0.12,0.24
34,1,EG2478-ND,500SSP1S1M6QEA,SWITCH SLIDE SPDT 5A 120V,,1,0,3.17,3.17
35,1,296-50289-1-ND,BQ7791500PWT,IC BATT PROT LI-ION 3-5C 24TSSOP,,1,0,2,2
36,2,296-44509-5-ND,DRV8871DDA,IC MOTOR DRVR UNIPLR 8SO PWRPAD,,2,0,2.54,5.08
37,1,LM2596S-5.0-ND,LM2596S-5.0,IC REG BUCK 5V 3A TO263-5,,1,0,8.85,8.85
38,2,SW402-ND,B3F-1020,SWITCH TACTILE SPST-NO 0.05A 24V,,2,0,0.35,0.7
39,2,1528-2711-ND,3942,ULTRASONIC SENSOR SONAR DISTANCE,,2,0,3.63,7.26
40,1,1738-SEN0373-ND,SEN0373,BMX160 9-AXIS SENSOR MODULE,,1,0,12.78,12.78
41,1,1597-1145-ND,317060016,RF TXRX MODULE WIFI TRACE ANT TH,,1,0,6.39,6.39
42,10,13-RC1206FR-1010KLCT-ND,RC1206FR-1010KL,RES 10K OHM 1% 1/4W 1206,,10,0,0.035,0.35
